Frame,CoM_X,CoM_Y,L_Elbow,R_Elbow,Velocity
114,85.044205,1462.3175,129.98543,125.635284,35.560528
115,88.779915,1457.7245,130.40991,131.81316,39.469917
116,92.41092,1453.6641,129.17172,156.47758,36.31437
117,96.14506,1450.6162,118.14846,161.04393,32.134216
118,100.38929,1447.7756,96.7826,172.03737,34.047146
119,104.81203,1444.2053,22.371239,173.17938,37.893585
120,109.38924,1440.1655,67.64204,176.15042,40.70044
121,113.45913,1436.1537,115.24138,172.48137,38.09915
122,117.25578,1431.5085,57.37692,170.99727,39.995895
123,121.2723,1426.9666,41.487453,167.05112,40.42167
124,125.43229,1421.8816,52.620018,167.35034,43.798813
125,128.80923,1417.6396,20.409935,166.88962,36.146797
126,131.44753,1414.2555,4.5385685,166.89507,28.607628
127,132.78331,1411.7612,0.16695714,167.609,18.86272
128,134.23863,1409.1758,8.030332,165.67848,19.779577
129,135.78903,1406.8716,10.641298,164.79962,18.515099
130,138.05515,1404.1401,2.2650032,170.09807,23.660477
131,140.7063,1401.492,16.292585,167.93712,24.981838
132,143.67096,1399.0205,18.370924,163.62125,25.731474
133,146.6364,1396.7893,8.473072,164.50302,24.74052
134,150.07901,1395.1411,16.625465,161.94478,25.445778
135,153.25603,1393.8483,26.297798,162.44365,22.866917
136,156.31053,1392.1144,37.893764,154.10953,23.415628
137,159.43011,1390.5323,34.016888,162.1523,23.318922
138,161.8801,1388.9224,34.80976,162.91856,19.544107
139,163.7743,1387.5623,30.642035,162.02258,15.546059
140,164.79228,1386.616,16.730318,154.52228,9.266054
141,165.42746,1385.6481,11.937976,153.39539,7.718439
142,165.8808,1384.8053,8.215494,156.74919,6.3803096
143,166.21484,1383.6472,24.74653,166.56876,8.035551
144,166.16658,1382.7123,56.988075,170.64246,6.2415752
145,166.06383,1382.89,107.074936,171.02838,1.3688878
146,166.24492,1382.2701,122.42644,168.65575,4.3054333
147,166.66014,1381.2837,121.097664,166.93239,7.1356044
148,166.7332,1380.5558,127.13449,165.38795,4.877412
149,167.31084,1379.435,71.77078,164.18552,8.405804
150,167.64738,1379.0029,127.32971,165.57509,3.6512809
151,167.60591,1378.657,115.65859,160.32619,2.322306
152,167.4755,1378.3903,15.899553,156.42145,1.9798337
153,168.03539,1378.3267,8.277335,158.98087,3.7566054
154,168.31306,1379.0309,6.8290925,160.74837,5.046369
155,167.6977,1380.2346,40.85677,163.13219,9.012239
156,167.36998,1381.5592,46.89324,166.11624,9.096582
157,167.83995,1382.3251,95.62348,159.6066,5.9904027
158,168.76494,1383.1387,31.839565,168.97656,8.212421
159,169.74734,1383.8866,0.21899293,167.46439,8.231403
160,170.54634,1384.4891,22.807562,167.02786,6.6715565
161,171.41147,1385.033,11.285473,166.4149,6.8120613
162,172.51967,1384.9722,20.272165,167.94743,7.3990717
163,173.63643,1384.7588,3.8241103,168.24051,7.5796223
164,174.72264,1384.0837,13.85443,167.72511,8.526035
165,175.55048,1383.3871,6.523083,167.11037,7.2130914
166,176.84717,1382.6835,1.0061483,161.92368,9.835158
167,178.15276,1381.6947,60.37896,163.18701,10.91837
168,179.42029,1380.5604,90.4179,164.35747,11.3400345
169,180.05368,1380.3086,129.93512,164.67355,4.5443363
170,180.64319,1379.725,130.95761,162.65685,5.5301676
171,181.39278,1379.8615,136.7019,162.61786,5.079396
172,181.64423,1379.6731,134.56522,164.31734,2.0947022
173,182.23917,1379.8325,131.22214,164.56325,4.106147
174,182.1019,1380.0221,130.28671,173.04898,1.5602074
175,181.54308,1380.5249,137.3427,173.61119,5.0115285
176,181.49908,1381.014,125.180405,173.58595,3.274145
177,181.60318,1381.2611,133.00276,172.84293,1.7869476
178,181.11774,1381.152,137.4343,169.447,3.3171773
